,sum,week_sum,slope7,slope21,std7,std21,mean7,mean21,cross,skew7,skew21,kurt7,kurt21,min7,min21,max7,max21,weekofyear,month,year,quarter
2017-03-15,-33.0,-49.0,-4.75,-7.618181818181816,24.07626770631564,68.7222498107044,-7.0,39.61904761904762,-1.0,0.20213224298760057,2.1835821139004485,-1.4558439295253074,6.08074921019818,-36.0,-36.0,25.0,273.0,12,3,2017,1
2017-03-16,-30.0,-100.0,-3.214285714285714,-5.188311688311689,21.799956312745415,44.97957208288159,-14.285714285714286,25.19047619047619,-1.0,0.9685031635110135,0.9654056424128955,0.4483842956454005,0.8447228778766941,-36.0,-36.0,25.0,133.0,12,3,2017,1
2017-03-17,65.0,1.0,2.1785714285714293,-3.9168831168831173,34.66231657687782,44.30075781354511,0.14285714285714285,24.571428571428573,-1.0,1.2246651887158442,1.0032927429791458,1.1306941142586893,1.092360793474232,-33.0,-36.0,65.0,133.0,12,3,2017,1
2017-03-18,-41.0,-40.0,-2.2499999999999996,-4.290909090909091,37.994360483773626,45.80751653850932,-5.714285714285714,19.857142857142858,-1.0,1.2870604602079214,1.0664465805861276,0.9517606135086794,1.2312001062661138,-41.0,-41.0,65.0,133.0,12,3,2017,1
2017-03-19,3.0,-62.0,3.0714285714285716,-3.864935064935067,35.881418456851755,44.73802047685736,-8.857142857142858,16.904761904761905,-1.0,1.7540547892026044,1.3041900791644638,3.4364153359481207,2.0177497193997542,-41.0,-41.0,65.0,133.0,12,3,2017,1
2017-03-20,-58.0,-111.0,-2.214285714285714,-3.1792207792207794,40.40803786140868,39.00335760878969,-15.857142857142858,7.809523809523809,-1.0,1.5444962150801271,0.907296644400484,2.7481772106807,2.263937629057456,-58.0,-58.0,65.0,119.0,12,3,2017,1
2017-03-21,-13.0,-107.0,-2.071428571428571,-3.346753246753247,40.41746440056504,39.22323169703297,-15.285714285714286,6.476190476190476,-1.0,1.4841186159127848,0.996291538851323,2.5693697572771654,2.2970624152990946,-58.0,-58.0,65.0,119.0,13,3,2017,1
2017-03-22,-48.0,-122.0,-8.107142857142856,-3.6753246753246755,41.884194086614926,40.448085480586656,-17.428571428571427,2.619047619047619,-1.0,1.4551651649162036,1.0751046750663764,2.2206845112414966,2.262261561475039,-58.0,-58.0,65.0,119.0,13,3,2017,1
2017-03-23,-56.0,-148.0,-14.035714285714285,-4.102597402597404,44.269735980792106,42.006122002768954,-21.142857142857142,-1.2857142857142858,-1.0,1.4367346436580666,1.1093051743534432,1.8179655242149024,2.1361757123590976,-58.0,-58.0,65.0,119.0,13,3,2017,1
2017-03-24,38.0,-175.0,4.607142857142857,-3.4454545454545444,35.89800365850702,42.82978491876537,-25.0,0.09523809523809523,-1.0,0.9670959302894017,0.981462310710379,-0.10483370886412616,1.5987590155833853,-58.0,-58.0,38.0,119.0,13,3,2017,1
2017-03-25,48.0,-86.0,10.142857142857142,-2.4103896103896103,44.1086321321682,43.663485889209824,-12.285714285714286,1.0,-1.0,0.34042706285072866,0.9145419215158955,-1.787340957844401,1.2084679485942396,-58.0,-58.0,48.0,119.0,13,3,2017,1
2017-03-26,-45.0,-134.0,8.82142857142857,-1.322077922077922,45.05710662195667,35.38448678106165,-19.142857142857142,-6.809523809523809,-1.0,0.865903693707298,0.29177916706935175,-1.2951748960836191,-0.8152896035424207,-58.0,-58.0,48.0,65.0,13,4,2017,2
2017-03-27,-37.0,-113.0,1.3571428571428565,-1.4597402597402598,42.674850405623815,35.72520785366682,-16.142857142857142,-9.095238095238095,-1.0,0.882389413241718,0.45576134487732556,-1.1847691914782843,-0.7769497400082808,-56.0,-58.0,48.0,65.0,13,4,2017,2
2017-03-28,-15.0,-115.0,1.9285714285714284,-1.1779220779220783,42.656992950963634,35.27402929712401,-16.428571428571427,-10.571428571428571,-1.0,0.9115410937318833,0.5921638890629367,-1.1296298609391144,-0.5447732881157401,-56.0,-58.0,48.0,65.0,14,4,2017,2
2017-03-29,28.0,-39.0,2.178571428571428,-0.2974025974025974,42.95290887648811,35.81898937710584,-5.571428571428571,-10.0,1.0,0.15570055283783382,0.5590896024581503,-2.2497014744283748,-0.6963788052942889,-56.0,-58.0,48.0,65.0,14,4,2017,2
2017-03-30,-39.0,-22.0,-8.607142857142856,-0.2311688311688312,40.00595193812665,35.61500486348122,-3.142857142857143,-12.857142857142858,1.0,0.2685872289231693,0.769074088774404,-2.3568468764299455,-0.3910594689709358,-45.0,-58.0,48.0,65.0,14,4,2017,2
2017-03-31,-15.0,-75.0,-4.0,-0.5896103896103896,35.70580851772262,35.22539668230567,-10.714285714285714,-11.857142857142858,1.0,0.9184437679567191,0.7163784197373758,-0.6251107038104984,-0.36936287101146364,-45.0,-58.0,48.0,65.0,14,4,2017,2
2017-04-01,20.0,-103.0,7.678571428571429,-0.006493506493506476,28.9638526771608,35.82723093106271,-14.714285714285714,-10.904761904761905,-1.0,0.639517569259668,0.6295647030715488,-1.2775614534188222,-0.6211852270316623,-45.0,-58.0,28.0,65.0,14,4,2017,2
2017-04-02,-5.0,-63.0,4.392857142857142,0.5831168831168831,25.761728720452314,34.91036140360843,-9.0,-12.333333333333334,1.0,0.35103992348042556,0.7563940880415824,-1.1524648966557443,-0.2434436639799416,-39.0,-58.0,28.0,65.0,14,4,2017,2
2017-04-03,-21.0,-47.0,-0.8928571428571428,0.5181818181818182,23.471360461299895,34.951258578021125,-6.714285714285714,-12.904761904761905,1.0,0.4185877925337528,0.8070673787920368,-0.634653982175265,-0.19610821564308495,-39.0,-58.0,28.0,65.0,14,4,2017,2
2017-04-04,-15.0,-47.0,-2.964285714285714,0.43246753246753233,23.471360461299895,34.94226530663294,-6.714285714285714,-12.80952380952381,1.0,0.4185877925337528,0.7987302592225617,-0.634653982175265,-0.20341173665956683,-39.0,-58.0,28.0,65.0,15,4,2017,2
2017-04-05,-8.0,-83.0,1.8571428571428577,0.20649350649350642,17.873896902346242,34.64459004007464,-11.857142857142858,-11.619047619047619,-1.0,0.4857451255457076,0.71659695557662,1.8349856426300206,-0.22606073160122647,-39.0,-58.0,20.0,65.0,15,4,2017,2
2017-04-06,-25.0,-69.0,-3.4285714285714284,-0.2298701298701299,14.859660958751217,34.52893886357991,-9.857142857142858,-11.380952380952381,1.0,1.5366977113837192,0.7060774997574087,2.8757973820665654,-0.20994785789904938,-25.0,-58.0,20.0,65.0,15,4,2017,2
2017-04-07,25.0,-29.0,-0.42857142857142866,1.333766233766234,19.51434149053032,31.0308602154614,-4.142857142857143,-13.285714285714286,1.0,0.7417136149228063,0.44149700533693115,-1.071173557659462,-0.701371030419842,-25.0,-58.0,25.0,48.0,15,4,2017,2
2017-04-08,-30.0,-79.0,0.24999999999999972,0.720779220779221,18.318608805554543,30.629895138372504,-11.285714285714286,-12.761904761904763,1.0,1.4407949400663733,0.43431019542169164,2.4837740614422317,-0.6294198135564362,-30.0,-58.0,25.0,48.0,15,4,2017,2
2017-04-09,81.0,7.0,11.035714285714285,2.1636363636363636,39.65265859098026,36.753878965965484,1.0,-9.047619047619047,1.0,1.732709816068039,0.8282319015726824,2.7127868387402843,0.2464404497140738,-30.0,-58.0,81.0,81.0,15,4,2017,2
2017-04-10,21.0,49.0,10.035714285714285,1.8545454545454547,38.94012497839264,35.51498677616969,7.0,-5.285714285714286,1.0,1.2501462941301635,0.7435494534172923,1.366304929769639,0.1131223482759033,-30.0,-56.0,81.0,81.0,15,4,2017,2
2017-04-11,-21.0,43.0,3.8928571428571432,1.5402597402597404,39.566099005028235,35.644541424046345,6.142857142857143,-5.666666666666667,1.0,1.2401648098779348,0.7667353273206163,1.2276439378796837,0.1022913137329797,-30.0,-56.0,81.0,81.0,16,4,2017,2
2017-04-12,-43.0,8.0,-3.392857142857143,0.45064935064935063,43.651760451048226,35.36321737136435,1.1428571428571428,-5.428571428571429,1.0,1.0820553834149613,0.792635677668406,0.5885080485796201,0.13731029156762248,-43.0,-56.0,81.0,81.0,16,4,2017,2
2017-04-13,-4.0,29.0,-7.678571428571427,-0.2532467532467532,42.2548954616586,33.41178862385016,4.142857142857143,-2.9523809523809526,1.0,0.9490176774605463,0.885207214716593,0.7284556917141309,0.34690314040122433,-43.0,-45.0,81.0,81.0,16,4,2017,2
2017-04-14,-35.0,-31.0,-8.892857142857142,-0.08441558441558449,43.38915818057037,32.72853713281981,-4.428571428571429,-6.428571428571429,1.0,1.5215811209346555,1.1352306910535337,2.140578152859547,1.073481733516028,-43.0,-45.0,81.0,81.0,16,4,2017,2
2017-04-15,-34.0,-35.0,-15.714285714285714,0.33506493506493507,43.80639222761342,30.741394459759853,-5.0,-10.333333333333334,1.0,1.5079427134808598,1.446870213023843,2.0545987968698953,2.525498238558911,-43.0,-45.0,81.0,81.0,16,4,2017,2
